Country,Age,Diet,Transportation,Housing,Carbon_Footprint
France,19,Vegan,Public Transit,Apartment,1.95
France,61,Vegan,Bicycle,Apartment,1.63
France,19,Meat-based,Car,Apartment,3.82
France,53,Meat-based,Bicycle,House,2.8
UK,35,Meat-based,Car,House,5.32
Germany,31,Vegetarian,Car,Apartment,5.4
Italy,72,Vegetarian,Bicycle,House,3.2
Spain,52,Meat-based,Public Transit,Apartment,4.16
UK,74,Vegetarian,Bicycle,Apartment,2.89
France,60,Meat-based,Public Transit,Apartment,3.68
France,42,Vegetarian,Public Transit,House,2.85
Italy,31,Vegan,Public Transit,Apartment,2.67
Germany,52,Vegan,Car,Apartment,4.12
Italy,77,Vegan,Bicycle,Apartment,2.11
France,32,Meat-based,Public Transit,House,3.64
Germany,76,Vegan,Bicycle,House,3.04
Spain,43,Vegan,Public Transit,Apartment,2.35
Germany,65,Vegan,Bicycle,House,3.39
Spain,75,Vegan,Public Transit,House,2.59
Germany,50,Vegetarian,Car,Apartment,5.94
Germany,58,Meat-based,Bicycle,House,5.49
Spain,42,Vegan,Public Transit,House,3.0
France,61,Vegan,Car,House,2.68
Italy,25,Vegetarian,Public Transit,Apartment,3.45
Italy,80,Vegan,Car,Apartment,3.12
Italy,71,Vegan,Bicycle,Apartment,1.89
Germany,52,Vegan,Car,House,4.6
France,77,Vegetarian,Public Transit,Apartment,2.5
UK,78,Meat-based,Car,House,5.85
UK,67,Meat-based,Car,House,5.99
Germany,34,Vegan,Bicycle,House,3.53
UK,66,Vegan,Bicycle,Apartment,2.17
Spain,60,Vegan,Public Transit,House,2.96
Spain,25,Meat-based,Car,Apartment,4.42
UK,53,Meat-based,Bicycle,Apartment,3.12
France,32,Meat-based,Car,House,3.88
Germany,35,Vegan,Public Transit,Apartment,3.77
UK,54,Vegetarian,Car,House,4.67
Germany,24,Meat-based,Bicycle,House,5.23
Spain,47,Vegan,Car,Apartment,2.5
Italy,69,Meat-based,Car,Apartment,4.54
Spain,26,Vegetarian,Car,House,4.03
France,46,Vegan,Car,Apartment,2.36
UK,71,Meat-based,Car,Apartment,4.62
Spain,48,Meat-based,Public Transit,Apartment,3.84
France,42,Vegetarian,Public Transit,House,3.01
UK,60,Vegan,Public Transit,Apartment,2.51
Germany,79,Meat-based,Bicycle,Apartment,5.08
France,21,Vegan,Public Transit,Apartment,1.88
UK,23,Meat-based,Car,Apartment,5.12
Germany,43,Meat-based,Bicycle,Apartment,4.92
France,57,Meat-based,Public Transit,House,4.15
Germany,60,Vegan,Public Transit,Apartment,3.56
Germany,60,Vegan,Public Transit,House,4.0
France,18,Vegetarian,Bicycle,Apartment,1.95
Germany,50,Vegetarian,Car,House,6.62
Germany,41,Vegetarian,Car,House,6.56
Italy,57,Vegan,Bicycle,Apartment,2.1
UK,37,Vegan,Car,Apartment,2.83
France,65,Vegan,Car,House,2.43
Germany,63,Vegetarian,Car,House,6.16
Italy,75,Meat-based,Car,House,5.73
France,18,Vegetarian,Car,House,3.16
Spain,53,Vegan,Public Transit,Apartment,2.28
Germany,52,Meat-based,Public Transit,Apartment,6.14
France,37,Vegetarian,Car,House,3.2
Germany,60,Meat-based,Public Transit,House,7.58
Germany,77,Meat-based,Car,Apartment,7.45
France,29,Vegan,Public Transit,House,2.43
Germany,35,Meat-based,Bicycle,Apartment,4.73
France,72,Vegetarian,Car,Apartment,3.25
Spain,40,Vegetarian,Car,Apartment,3.31
Germany,43,Vegetarian,Public Transit,Apartment,5.45
Italy,40,Vegan,Bicycle,House,2.34
UK,39,Meat-based,Car,House,5.15
Italy,20,Meat-based,Bicycle,House,3.65
Italy,45,Vegan,Bicycle,Apartment,1.99
UK,30,Vegetarian,Car,House,3.96
UK,61,Vegan,Bicycle,Apartment,2.02
France,78,Vegan,Public Transit,House,2.36
France,64,Vegetarian,Bicycle,House,2.45
Italy,43,Vegan,Public Transit,Apartment,2.45
Spain,61,Vegan,Car,House,2.99
France,37,Vegetarian,Car,House,3.59
UK,59,Vegetarian,Public Transit,House,3.91
Germany,50,Vegetarian,Bicycle,Apartment,4.0
Italy,50,Vegan,Bicycle,House,2.08
Germany,61,Vegetarian,Car,Apartment,5.15
France,33,Vegetarian,Bicycle,Apartment,2.12
UK,30,Vegan,Bicycle,House,2.31
Germany,27,Vegan,Bicycle,Apartment,3.14
France,67,Vegetarian,Car,Apartment,3.24
UK,47,Meat-based,Bicycle,Apartment,3.75
France,47,Meat-based,Public Transit,House,4.16
Spain,57,Vegan,Bicycle,House,2.27
UK,46,Meat-based,Bicycle,House,3.81
Germany,71,Vegan,Public Transit,House,4.26
Italy,46,Meat-based,Bicycle,House,3.57
Italy,38,Vegan,Car,Apartment,2.7
Spain,62,Meat-based,Bicycle,Apartment,2.92
Spain,39,Vegan,Public Transit,House,2.5
Spain,42,Vegan,Bicycle,Apartment,2.06
UK,42,Vegetarian,Car,House,4.22
Spain,72,Vegetarian,Bicycle,Apartment,2.55
Italy,45,Vegetarian,Car,House,4.16
Spain,64,Meat-based,Public Transit,Apartment,4.51
UK,19,Vegetarian,Bicycle,Apartment,2.54
Spain,26,Vegetarian,Car,Apartment,3.48
Italy,31,Vegetarian,Public Transit,House,4.08
Spain,35,Vegetarian,Public Transit,Apartment,3.27
UK,21,Vegetarian,Car,Apartment,4.18
France,66,Meat-based,Car,Apartment,4.07
UK,27,Meat-based,Car,House,5.69
UK,78,Meat-based,Public Transit,House,5.21
Germany,56,Vegan,Bicycle,Apartment,3.07
Germany,79,Vegetarian,Car,Apartment,6.01
UK,61,Vegetarian,Public Transit,Apartment,3.26
Germany,24,Vegan,Public Transit,Apartment,3.96
UK,68,Meat-based,Public Transit,House,5.11
France,50,Vegan,Public Transit,Apartment,2.2
Spain,24,Vegetarian,Public Transit,House,3.81
Spain,29,Vegan,Bicycle,House,2.18
UK,67,Vegetarian,Public Transit,House,4.22
UK,35,Vegetarian,Car,Apartment,3.78
Spain,33,Vegetarian,Bicycle,House,2.75
Spain,72,Vegetarian,Car,House,3.83
Italy,39,Vegetarian,Bicycle,House,3.05
UK,78,Meat-based,Car,Apartment,5.17
Spain,53,Meat-based,Bicycle,House,3.66
Spain,46,Meat-based,Car,House,4.8
Germany,37,Vegan,Bicycle,House,3.21
UK,40,Vegetarian,Bicycle,House,2.99
Spain,35,Vegetarian,Public Transit,Apartment,3.04
Germany,38,Meat-based,Bicycle,Apartment,4.55
Spain,35,Vegan,Bicycle,House,2.34
Germany,36,Meat-based,Public Transit,Apartment,5.98
UK,26,Vegetarian,Car,Apartment,4.0
Germany,58,Vegetarian,Car,Apartment,5.62
Spain,48,Vegetarian,Public Transit,Apartment,3.6
Italy,78,Vegetarian,Car,Apartment,3.8
France,54,Vegan,Bicycle,Apartment,1.49
UK,78,Vegetarian,Car,Apartment,3.66
Spain,56,Vegan,Bicycle,Apartment,2.03
Spain,46,Vegetarian,Public Transit,House,3.52
UK,21,Vegan,Bicycle,Apartment,2.27
Germany,58,Meat-based,Public Transit,Apartment,5.8
Germany,53,Meat-based,Car,Apartment,6.79
UK,48,Vegetarian,Car,Apartment,3.79
Italy,62,Vegetarian,Car,Apartment,4.2
UK,60,Meat-based,Public Transit,Apartment,4.49
Germany,76,Vegetarian,Car,Apartment,5.05
Italy,56,Vegan,Bicycle,House,2.23
Spain,62,Vegetarian,Bicycle,House,3.1
UK,52,Vegetarian,Public Transit,Apartment,3.63
Spain,65,Vegetarian,Bicycle,House,2.58
Germany,79,Vegan,Bicycle,Apartment,3.2
Italy,54,Meat-based,Car,House,5.4
Spain,76,Vegetarian,Car,House,4.17
Spain,80,Meat-based,Public Transit,House,4.49
Italy,60,Meat-based,Car,House,5.28
Spain,36,Vegan,Public Transit,Apartment,2.45
Italy,34,Vegetarian,Car,House,4.62
France,60,Vegan,Public Transit,House,2.09
UK,41,Vegan,Public Transit,House,3.12
Germany,35,Vegan,Car,House,4.56
Spain,25,Meat-based,Bicycle,Apartment,3.33
Italy,53,Meat-based,Bicycle,House,3.46
France,47,Meat-based,Bicycle,Apartment,2.67
Italy,50,Vegan,Public Transit,House,3.1
Spain,33,Vegetarian,Bicycle,Apartment,2.5
UK,50,Vegan,Car,Apartment,2.84
Spain,39,Vegan,Public Transit,Apartment,2.36
Italy,71,Vegan,Bicycle,House,2.42
Spain,52,Vegetarian,Public Transit,House,3.7
UK,42,Vegetarian,Public Transit,Apartment,3.91
Germany,54,Vegetarian,Car,House,5.59
Spain,63,Vegetarian,Public Transit,Apartment,3.29
France,26,Vegan,Bicycle,House,1.91
Spain,24,Vegan,Public Transit,Apartment,2.58
Spain,73,Vegan,Car,Apartment,2.73
Italy,39,Vegan,Bicycle,House,2.33
Italy,72,Vegan,Bicycle,House,2.46
Spain,73,Vegan,Car,Apartment,2.6
Italy,32,Vegan,Car,House,3.54
France,46,Meat-based,Bicycle,House,3.21
France,38,Meat-based,Public Transit,House,3.72
Germany,33,Vegan,Public Transit,Apartment,3.49
France,57,Vegetarian,Bicycle,Apartment,2.14
UK,27,Meat-based,Public Transit,House,4.91
France,75,Vegetarian,Public Transit,Apartment,2.51
Italy,55,Vegetarian,Bicycle,House,3.13
Spain,72,Vegetarian,Car,House,4.35
France,33,Vegetarian,Bicycle,House,2.41
Italy,19,Vegan,Public Transit,House,2.62
France,76,Vegan,Bicycle,House,1.9
Italy,67,Meat-based,Bicycle,House,3.55
Germany,57,Vegetarian,Bicycle,Apartment,3.98
France,37,Vegetarian,Car,House,3.55
France,76,Vegetarian,Public Transit,House,2.85
Germany,68,Vegan,Public Transit,House,4.43
Italy,76,Vegetarian,Public Transit,House,4.11
Spain,79,Meat-based,Car,Apartment,4.9
Spain,79,Vegan,Public Transit,Apartment,2.61
France,34,Vegan,Car,House,2.48
Italy,55,Vegetarian,Bicycle,House,2.78
Germany,48,Meat-based,Bicycle,House,5.83
Germany,59,Meat-based,Bicycle,House,5.82
Italy,59,Vegetarian,Car,Apartment,3.52
France,37,Vegetarian,Car,Apartment,2.89
UK,26,Vegetarian,Public Transit,House,4.1
UK,44,Vegan,Bicycle,Apartment,2.24
France,71,Vegetarian,Bicycle,House,2.58
Italy,20,Vegan,Public Transit,Apartment,2.59
Germany,72,Vegetarian,Car,House,6.21
Italy,21,Vegetarian,Public Transit,Apartment,3.81
Spain,23,Vegan,Car,Apartment,2.5
Italy,33,Meat-based,Bicycle,Apartment,3.1
UK,31,Vegan,Car,Apartment,2.87
Germany,68,Vegan,Car,House,4.94
Germany,26,Vegan,Public Transit,Apartment,3.45
France,26,Meat-based,Public Transit,Apartment,3.5
France,29,Vegetarian,Car,Apartment,3.2
UK,25,Vegan,Car,House,3.27
Italy,50,Vegan,Car,House,3.23
UK,20,Vegan,Bicycle,House,2.29
France,21,Vegetarian,Public Transit,House,3.17
Spain,63,Vegetarian,Car,Apartment,3.53
Germany,22,Meat-based,Public Transit,House,6.76
UK,51,Vegetarian,Public Transit,House,3.64
France,72,Vegan,Bicycle,Apartment,1.58
Germany,44,Vegetarian,Public Transit,House,5.44
France,38,Vegetarian,Public Transit,House,2.98
Germany,61,Vegetarian,Car,Apartment,5.9
France,45,Meat-based,Bicycle,House,3.15
UK,21,Vegan,Bicycle,House,2.39
Spain,40,Vegan,Public Transit,Apartment,2.7
UK,37,Vegetarian,Car,Apartment,3.69
Spain,32,Meat-based,Public Transit,House,4.22
Italy,54,Meat-based,Public Transit,Apartment,4.45
Italy,19,Meat-based,Public Transit,House,5.25
Italy,18,Meat-based,Car,House,4.92
France,23,Vegan,Bicycle,Apartment,1.56
Spain,39,Meat-based,Public Transit,House,4.77
UK,56,Meat-based,Car,Apartment,4.61
UK,21,Vegan,Car,House,3.26
Spain,49,Vegan,Public Transit,House,2.62
UK,25,Vegetarian,Public Transit,Apartment,3.41
UK,49,Vegan,Bicycle,House,2.1
Spain,56,Meat-based,Car,Apartment,4.39
Germany,67,Meat-based,Public Transit,House,6.68
France,49,Vegan,Public Transit,Apartment,1.91
UK,63,Meat-based,Bicycle,House,3.52
France,45,Meat-based,Public Transit,Apartment,3.68
UK,45,Vegan,Public Transit,House,2.84
Spain,19,Vegetarian,Car,House,4.33
Italy,23,Vegetarian,Car,Apartment,3.82
Spain,51,Meat-based,Public Transit,House,4.8
Germany,39,Meat-based,Car,Apartment,6.96
Germany,75,Vegetarian,Public Transit,Apartment,4.72
Germany,34,Meat-based,Car,Apartment,7.28
France,29,Vegan,Public Transit,House,2.41
